,name,event__place__name,event__place__id,lat,lon,event_count
679,"9-я линия В. О., д. 12",Галерея Интерьеры махараджей,594,59.93789600,30.28042100,3
680,"Балканская пл., д. 5",Буквоед,19,59.82833700,30.37808500,3
681,"Петергоф, ул. Ботаническая, д. 66/5",ДКиН СПбГУ,454,59.87430900,29.82713100,4
682,"Апраксин переулок, д. 11",Камертон,650,59.92800900,30.32647700,1
683,"Пионерская ул., д. 32",Rock-кафе,506,59.96038100,30.28262100,23
684,"Громова, д. 4",ДК Громов,263,59.92138900,30.41209600,2
685,"Ломоносова, д. 24",Рюмочная На бровях,297,59.92694100,30.34080500,3
686,"Невский пр., д. 60",Союз художников,271,59.93406000,30.33917000,7
687,"Университетская наб., д. 11",Филологический факультет СПбГУ,191,59.94074000,30.30024600,74
688,"Ломоносова, д. 1",Apotheke Bar,291,59.93231500,30.32677400,1
689,"Марата, д. 33",Грязная галерея,604,59.92607900,30.35179200,1
690,"Грибоедова, д. 26",РЫБАПИЛА,741,59.93304100,30.32605500,1
691,"Инструментальная ул., д. 3",Орландина,511,59.97529700,30.32186000,2
692,"Дворцовая наб., д. 22",СимбиоZ,690,59.94371500,30.32071900,1
693,"Лиговский пр., д. 53",Галерея Кино-Фот-703,71,59.92913600,30.35933800,34
694,"Невский пр., д. 85",Московский вокзал,375,59.93014600,30.36205900,1
695,"Выборг, Замковый остров",Выборгский замок,765,60.71576400,28.72880600,2
696,"Фонтанка, д. 20",Театр фантастики,820,59.94062300,30.34119200,2
697,"Комарово, 3-я Дачная ул., д. 8",Библиотека пос. Комарово,357,60.19037600,29.81601000,1
698,"Новочеркасский пр., д. 49",Библиотека Малоохтинская,773,59.92519100,30.41520400,2
699,"1-я линия В. О., д. 10",horosho,780,59.94010000,30.29173900,1
700,"Лиговский пр., д. 87",ЦНСИ,607,59.92414500,30.35621100,3
701,"Невский пр., д. 88",Freedom,318,59.93246400,30.35180100,1
702,"Апраксин переулок, д. 5",Бутерброд,115,59.92855000,30.32541700,5
703,Царское Село,Запасной дворец,404,59.72246300,30.41694700,2
704,"Невский пр., д. 32-34",Борхес,23,59.93551100,30.32903700,27
705,"Галерная ул., д. 58-60",Смольный институт свободных искусств и наук,27,59.93035400,30.28510100,40
706,"Петрозаводская ул., д. 7Б",Магазин Академкнига,586,59.96398000,30.29234100,13
707,"Московский пр., д. 152",Театр Под самой крышей,497,59.88455000,30.32117700,3
708,"наб. лейтенанта Шмидта, д. 11",Смольный институт свободных искусств и наук,27,59.93590300,30.28279200,35
709,"Гороховая ул., д. 41",Библиотека Грибоедова,59,59.92881600,30.32117700,20
710,"Профессора Попова, д. 47",ЛДМ,397,59.97118100,30.28706800,3
711,"Вознесенский пр., д. 20",Vnutri,756,59.92908200,30.30856500,2
712,"Садовая ул., д. 30",Стокер,316,59.92802700,30.32743800,4
713,"Миргородская, д. 1",Дом причта Феодоровского собора,160,59.92491600,30.37026100,2
714,"Маяковского ул., д. 19",Книжный магазин Во весь голос,347,59.93855000,30.35567200,7
715,"Марая Морская, д. 5",Галерея Палитра,419,59.93638100,30.31338900,1
716,"Александровский парк, д. 4",Театр Балтийский дом,556,59.95511100,30.31165500,3
717,"Петергоф, Нижний Парк, у ""Шахматной Горы""",street,53,59.88549800,29.91384500,1
718,"Фонтанка, д. 15",Порядок слов,21,59.93619200,30.34304200,810
719,"Гороховая, д. 49",Танцы,127,59.92726100,30.32345900,31
720,"Жака Дюкло, д. 6",Театр Куклы,172,60.01008800,30.35807100,110
721,"Грибоедова, д. 103",Музей искусства Санкт-Петербурга,231,59.92644500,30.30002200,4
722,"Канонерский остров, д. 32",street,53,59.90289400,30.21707100,1
723,"пл. Островского, д. 6",Александринский театр,437,59.93177000,30.33626900,1
724,"Достоевского, д. 34",Открытое пространство,85,59.92315700,30.34703100,4
725,"Преображенская пл., д. 4",Генеральное консульство Финляндии,396,59.94359300,30.35234000,5
726,"103-я Советская ул., д. 8A","ЦГДБ им. Пушкина, филиал № 3",89,59.93909500,30.31586800,5
727,"Пер. Антоненко, д. 4",Циник,406,59.93093500,30.31098100,2
728,"Грибоедова, д. 31",Самосуд,532,59.93206700,30.32361200,1
729,Александровский Сад,Александровский Сад,583,59.93630900,30.30693000,2
730,"Свердловская наб., д. 12",Клим Ворошилов,377,59.95805200,30.37865100,8
731,"Ломоносова, д. 1",Галерея искусств Чердак Художника,106,59.93231500,30.32677400,8
732,"Обводный, д. 74А",Креативное пространство ЛЮМЬЕР-ХОЛЛ,178,59.91095600,30.32863300,1
733,"Павловское шоссе, д. 6",Павловский парк,444,59.71040700,30.41417100,1
734,"Фонтанка, д. 129",Кафе-бар Funnydogs,723,59.91958100,30.30639100,1
735,"Большая Московская ул., д. 9",Кофейня 64 зерна,132,59.92593100,30.34635700,8
736,"Московский пр., д. 107, к. 5",Скороход,591,59.89093400,30.31691900,4
737,"Лиговский пр., д. 53","Арт-центр Пушкинская, 10",15,59.92913600,30.35933800,10
738,"Заневский пр., д. 67, к. 2",Снарк,470,59.93302300,30.43763500,2
739,"Каменноостровский пр., д. 26-28",Театр Остров,314,59.96284500,30.31390100,2
740,"Ижорская ул., 13",Редакция журнала НоМИ,415,59.95943100,30.29702100,1
741,"Колпино, ул., Пролетарская, д. 36",ТРК Меркурий,332,59.74058800,30.58406000,1
742,"Думская ул., д. 9",Синий Пушкин,324,59.93277500,30.32732200,1
743,"Гагаринская ул., д. 20",Книги и кофе,11,59.94467000,30.34321300,174
744,"Гривцова, д. 2",Depeche Mode,358,59.93187800,30.31265200,3
745,"Кирочная, д. 8",Анненкирхе,129,59.94423300,30.35277100,3
746,"наб. Адмиралтейского канала, д. 27",Театр-студия СПбГУ,655,59.93007900,30.28703200,4
747,"Аптекарский переулок, д. 6",Мастерская Виктора Тихомирова,772,59.94246200,30.32838200,2
748,"Рубинштейна, д. 18",Малый драматический театр,552,59.93032700,30.34513500,5
749,"Лиговский пр., д. 53",Музей звука,251,59.92913600,30.35933800,6
750,"Исаакиевская пл., д. 5",Российский институт истории искусств,767,59.93349200,30.30447700,2
751,"Мойка, д. 48",РГПУ,346,59.93445200,30.31994600,7
752,"Пушкинская, д. 10","Пушкинская, 10",833,59.92951500,30.35755900,1
753,"Казанская ул., д. 7",Black box theatre,664,59.93237800,30.32104200,1
754,"Маяковского ул., д. 28",street,53,59.93849100,30.35493600,2
755,"Моховая ул., д. 30",Редакция Петербургского театрального журнала,781,59.94126300,30.34552100,12
756,"Банковский пер., д. 3",Хостел Друзья,636,59.93054300,30.32395300,1
757,Театральная площадь,Театральная просто,281,59.92583100,30.29725500,1
758,Пл. Искусств,street,53,59.93727800,30.33165200,1
759,"Большой пр. П. С., д. 18",Восточноевропейский институт психоанализа,425,59.95539400,30.29482100,20
760,"Звенигородская ул., д. 12",Галерея Ультра Марин,596,59.92143500,30.33802100,2
761,"Пушкин, Набережная, д. 14",Пушкинский районный дом культуры,453,59.71585700,30.41356000,2
762,"Звенигородская ул., д. 30","Театр ""Суббота""",849,59.91830000,30.34302400,1
763,"Менделеевская линия В. О., д. 5",Центр современного искусства при СПбГУ,434,59.94346200,30.29880900,1
764,"13-я линия В. О., д. 72",ДК Розы,183,59.94636900,30.26412500,1
765,"Куйбышева, д. 1/5",Арт-Проспект,858,59.95452500,30.32697100,1
766,"Воскова, д. 18/10",Кафе-клуб Песня,145,59.95821900,30.30754100,11
767,"Гороховая ул., д. 47",DaDa,489,59.92739600,30.32332400,19
768,"Большой проспект В. О., д. 18А",Книжный гипермаркет Лас-Книгас,692,59.93906300,30.28422000,6
769,"Тучков переулок, д. 11",Дуня,574,59.94491400,30.28882900,1
770,"Маяковского ул., д. 6",street,53,59.93306800,30.35404700,1
771,"Ветеранов, д. 78",Центральная детская библиотека Кировского района,471,59.83293700,30.21576900,2
772,"Новый Петергоф, Эрлеровский бульвар, д. 18",Центральная библиотека Петергофа,851,59.87271500,29.90862600,1
773,"Большая Конюшенная ул., д. 9",Пыль,799,59.93984800,30.32366500,1
774,"Маршала Говорова, 47",Place,839,59.89949600,30.28982600,1
775,"Московский пр., д. 109",Малевич,74,59.88988200,30.31873400,39
776,"17-я линия В. О., д. 14А",Библиотека Островского,435,59.93617400,30.26924600,2
777,"Невский пр., д. 20",biblioteka,111,59.93630900,30.32122200,11
778,"Жуковского, д. 13",Чеширский кот,430,59.93577300,30.35242100,1
779,"Лиговский пр., д. 50",TimeCraft,758,59.92484400,30.35894200,2
780,"Садовая ул., д. 50",Юсуповский сад,795,59.92440600,30.31365800,1
781,"Большая Пушкарская ул., д. 50",Регал,646,59.96253400,30.30854700,3
782,"Комарово, Кудринский переулок, д. 5",Зеленый шатер,280,60.19246900,29.79769300,19
783,"Большой проспект В. О., д. 83",ДК Кирова,736,59.93357700,30.25400100,1
784,"Пушкинская ул., д. 9",Театр поэтов Послушайте!,148,59.92963700,30.35673200,110
785,"Выборгское шоссе, д. 5, к.1",Школа музыки Эглерио,300,60.04148100,30.31893100,1
786,"наб. Робеспьера, д. 14",Музей кофе,447,59.94945600,30.36254500,1
787,"Большая Конюшенная ул., д. 11",Галерея Мольберт,534,59.93968100,30.32359400,5
788,"Колпино, ул. Веры Слуцкой, д. 32",Библиотека Светлова в Колпино,308,59.74437000,30.58290100,2
789,"Ленсовета, д. 36",ZIS,227,59.84692400,30.33097800,1
790,"Мойка, д. 12",Бироновы конюшни,390,59.94118600,30.32116800,1
791,"Лиговский пр., д. 50",Клуб-клуб-клуб,642,59.92484400,30.35894200,1
792,"Дворцовая наб., д. 34",Эрмитаж,359,59.94207400,30.31583200,4
793,"Садовая ул., д. 28-30",Революция,740,59.93075100,30.32792300,7
794,"Манежная пл., д. 2",Книжный салон,70,59.93684100,30.33931400,9
795,"Лиговский пр., д. 53",ГЭЗ-21,122,59.92913600,30.35933800,53
796,"Потемкинская ул., д. 4",Таврический сад,575,59.94581500,30.36878800,3
797,"Итальянская ул., д. 17",Бездельники,813,59.93613300,30.33429300,1
798,"Почтамтская ул., д. 14",Музей истории религии,198,59.93168800,30.30112700,3
799,"Садовая ул., д. 25",Книжный магазин Мир печати,440,59.92988500,30.32469000,1
800,"пр. Юрия Гагарина, 17",Музей-библиотека Книги блокадного города,695,59.86308900,30.33485000,1
801,"Петергоф, Ульяновская ул., д. 3",Физический факультет СПбГУ,418,59.88157000,29.82360000,2
802,"Фонтанка, д. 44",Библиотека Маяковского,14,59.93230600,30.34373400,35
803,"Грибоедова, д. 22",Свитер с оленями,700,59.93387900,30.32647700,1
804,"Ленинский пр., д. 115",Библиотека им. Молчанова,298,59.85122300,30.24754200,7
805,"Грибоедова, д. 26",Choker,250,59.93304100,30.32605500,8
806,"Литейный пр., д. 60",Санкт-Петербургская ассоциация международного сотрудничества,572,59.93378500,30.34845000,1
807,"Разъезжая ул., д. 26-28",Бар мистера Кокошки,542,59.92390600,30.34919600,1
808,Шпалерная ул.,Квартира Аронзона на Шпалерной,299,59.94890200,30.36614700,1
809,"Кемская ул., д. 8/3",Библиотека Кировских островов,327,59.97351800,30.26091800,6
810,"Фонтанка, д. 130",Театр дождей,504,59.91793500,30.30422600,1
811,"Садовая ул., д. 2",Русский музей,265,59.94023500,30.33705900,2
812,"Моховая ул., д. 42",Галерея Люда,733,59.93916300,30.34539600,1
813,"Кирилловская ул., 19",Ленинградская Областная Научная Универсальная Библиотека,835,59.93643100,30.38423900,1
814,"Большая Пушкарская ул., д. 7",Мансарда художников,677,59.95532200,30.29851300,3
815,"Невский пр., д. 74",Пространство Табурет,610,59.93302300,30.34733600,4
816,"Малая Посадская ул., д. 3А",Горький,77,59.95764200,30.32087200,1
817,"Тучков переулок, д. 12",Time-cafe Саквояж,638,59.94472000,30.28835300,1
818,Ветеранов д. 155,Центральная библиотека Красносельского района,460,59.83585300,30.12933300,1
819,"Казанская ул., д. 7",ПОЭТому,76,59.93237800,30.32104200,6
820,"Пл. Ленина, д. 1",Концертный зал у Финляндского,238,59.95384500,30.35689400,11
821,Набережная Робеспьера,Причал на набережной Робеспьера,580,59.94971700,30.36162800,1
822,"Рубинштейна, д. 3",Еврейский общинный центр,41,59.93200800,30.34539600,172
823,"Институтский пр., д. 16, кор. 2",Центр культурных инициатив Сад,727,60.00258400,30.34778500,3
824,"Чайковского, д. 10",DO-gallery,195,59.94683300,30.34502700,12
825,"Парголовская, д. 13/2",Литературное радио,731,59.98604300,30.34580000,1
826,"Грибоедова, д. 74",Галерея стеклянных картин Анны Дорониной,811,59.92586700,30.31044200,1
827,"Шаумяна, д. 22",Театр Буфф,688,59.93164800,30.41729700,1
828,"Рубинштейна, д. 40/11",Social Club,151,59.92670200,30.34287100,12
829,"Восстания, д. 41",Камерный театр Малыщицкого,350,59.94000100,30.36093700,1
830,"Графтио, д. 2Б",Музей Шаляпина,830,59.97417100,30.30557300,1
831,1-я линия В. О. д. 30,Институт Океанологии,416,59.94321400,30.28812800,1
832,"Невский пр., д. 179/2",Новый выставочный зал музея городской скульптуры,373,59.92281000,30.38475100,8
833,"Невский пр., д. 35",ГостинкаART,579,59.93417200,30.33263100,2
834,"Гражданская ул., д. 3",PRE,480,59.92876700,30.31469100,3
835,"Пестеля, д. 7",Китайский летчик Джао Да,400,59.94219600,30.34130800,4
836,"Мучной пер., д. 2",Ионотека,6,59.93044900,30.32247100,5
837,"Невский пр., д. 48",Цифербург,360,59.93475400,30.33426600,14
838,"Грибоедова, д. 103",Малый зал ЦВЗ Манеж,609,59.92644500,30.30002200,4
839,"Шкапина, д. 6",Библиотека Тимирязева,34,59.90766300,30.29694100,22
840,"Фонтанка, д. 40",ПирОГИ,399,59.93370800,30.34462300,12
841,"пл. Искусств, д. 4",Подвал Бродячей Собаки,96,59.93671500,30.33373600,229
842,"Кожевенная линия В. О., д. 40",Севкабель Порт,336,59.92439700,30.24203600,2
843,"Невский пр., д. 81",Циферблат,128,59.93094400,30.35950800,16
844,"Шпалерная ул., д. 3",Лаборадория Интимное место,243,59.94810000,30.34325800,3
845,"Уточкина, д. 7",Несуществующий этаж,551,60.01224600,30.26458300,2
846,"Турку, д. 11",Библиотека Чехова,363,59.86677500,30.38245100,2
847,"6-я линия В. О., д. 5",LAZAREV GALLERY,550,59.93737800,30.28571200,1
848,"Боровая ул., д. 32",Свой круг,57,59.91796200,30.34635700,3
849,"Грибоедова, д. 126",Дом семейных торжеств,744,59.92084800,30.29548500,1
850,метро Елизаровская,Квартирник,746,59.89664400,30.42377400,1
851,"Ивановская ул., д. 14",Библиотека Абрамова,33,59.87455300,30.44242300,28
852,"Пирогова, д. 18",Четверть,633,59.92837900,30.30034500,5
853,"Невский пр., д. 18",Литературное кафе,426,59.93655700,30.31824900,8
854,"пр. Просвещения, д. 19",Буквоед,19,60.05270300,30.33119300,10
855,"Жуковского, д. 12",Bar Dead Poets,87,59.93612400,30.35336400,19
856,"Богатырский пр., д. 2",ЛенСпецСМУ,477,59.99963800,30.29541300,1
857,"Малая Конюшенная ул., д. 1-3",Дворец учащейся молодежи,774,59.93865300,30.32576800,1
858,"Мучной переулок, д. 5",Art lab Medovarus,759,59.93001100,30.32239900,1
859,"Невский пр., д. 48",Пассаж,294,59.93475400,30.33426600,7
860,"Грибоедова, д. 54",Charlie,196,59.92698100,30.31584100,2
861,"пр. Юрия Гагарина, д. 8",Петербургский СКК,691,59.86920500,30.34002400,1
862,"Большой Сампсониевский пр., д. 37",Дом молодёжи Форпост,92,59.96750700,30.34273700,21
863,"5-я Советская ул., д. 45",ПОЭТому,76,59.93259900,30.37494100,2
864,"Промышленная, д. 17а",НИУ ВШЭ,242,59.89793900,30.26308300,1
865,"Гороховая ул., д. 46",Дитрихбар,570,59.92667900,30.32499500,5
866,"Михайловская ул., д. 3",Музей И.И.Бродского,205,59.93594900,30.33057400,5
867,"Малая Посадская ул., д. 8",street,53,59.95796700,30.32131200,1
868,"Колокольная ул., д. 10",Лавочка КнигиПодарки,546,59.92874000,30.35096500,1
869,"Гороховая ул., д. 39",Кончита-Бонита,721,59.92924000,30.32053000,1
870,"Комарово, Кавалерийская ул., д. 4/4",Дом творчества писателей,344,60.18052900,29.80954200,30
871,"Театральная пл., д. 3",Театр Романа Виктюка в помещении Консерватории им. Н.А.Римского-Корсакова,656,59.92586300,30.29759600,1
872,"Большая Морская ул., д. 47",Музей Набокова,49,59.93188700,30.30492700,63
873,"Никольская пл., д. 6",Матисс-клуб,286,59.92279600,30.30263600,3
874,"Марата, д. 25",Редакция Санкт-Петербургских ведомостей,246,59.92745900,30.35259100,1
875,"Среднеохтинский пр., д. 8",Библиотека Гоголя,337,59.94803700,30.41309300,8
876,"Пл. Растрелли, д. 1А",Смольный Собор,647,59.94884800,30.39555800,1
877,"Генерала Симоняка, д. 9",Досуговый клуб Ритм,681,59.83013300,30.20339900,2
878,"Невский пр., д. 13",Центр китайского языка Иероглиф,825,59.93630000,30.31675700,1
879,"Павловск, Садовая ул., д. 20",Павловский дворец,728,59.68514000,30.45410100,1
880,"Гагаринская ул., д. 30",Форсайт,411,59.94381400,30.34333900,1
881,"Новолитовская ул., д. 15А",Кафе драмы и комедии,548,59.98036200,30.35492700,5
882,Летний сад,Чайный домик Летнего сада,433,59.94490500,30.33555000,5
