,place_name,participant_count
522,Музей Ахматовой,2
523,ЦСЛК,1
524,Европейский университет,12
525,Лицей,2
526,Подвал Бродячей Собаки,5
527,Подвал Бродячей Собаки,4
528,Подвал Бродячей Собаки,1
529,Лицей,2
530,Подвал Бродячей Собаки,10
531,Галерея С.П.А.С.,4
532,Дом ученых,1
533,Подвал Бродячей Собаки,8
534,Подвал Бродячей Собаки,1
535,Лицей,1
536,Подвал Бродячей Собаки,4
537,Филологический факультет СПбГУ,2
538,Борей-Арт,1
539,Подвал Бродячей Собаки,5
540,Филологический факультет СПбГУ,1
541,Дом ученых,1
542,Подвал Бродячей Собаки,2
543,Музей Ахматовой,12
544,Лицей,1
545,Филологический факультет СПбГУ,0
546,Музей Ахматовой,1
547,Подвал Бродячей Собаки,1
548,Музей Ахматовой,2
549,Борей-Арт,3
550,Инк-клуб,1
551,street,10
552,Музей нонконформистского искусства,2
553,Музей Ахматовой,6
554,Музей Ахматовой,6
555,Музей Ахматовой,8
556,Музей Ахматовой,1
557,Библиотека им. Толстого,1
558,Инк-клуб,1
559,Подвал Бродячей Собаки,2
560,Подвал Бродячей Собаки,0
561,Музей Ахматовой,1
562,Библиотека им. Толстого,1
563,Музей Ахматовой,1
564,Музей Ахматовой,1
565,Борей-Арт,1
566,Подвал Бродячей Собаки,2
567,Подвал Бродячей Собаки,1
568,Музей Ахматовой,1
569,Музей Ахматовой,1
570,Дом журналиста,1
571,Музей Ахматовой,1
572,Лицей,1
573,Музей Ахматовой,1
574,Музей Ахматовой,1
575,Музей Ахматовой,2
576,Лицей,1
577,Подвал Бродячей Собаки,0
578,Музей Ахматовой,1
579,Музей Блока,10
580,Еврейский общинный центр,2
581,Подвал Бродячей Собаки,1
582,Cafemax,1
583,Европейский университет,2
584,Подвал Бродячей Собаки,2
585,Филологический факультет СПбГУ,1
586,Лицей,1
587,Филологический факультет СПбГУ,1
588,Подвал Бродячей Собаки,3
589,Музей Ахматовой,1
590,Библиотека Маяковского,1
591,Борей-Арт,1
592,Восточноевропейский институт психоанализа,1
593,Музей Набокова,1
594,Грибоедов,0
595,Музей Ахматовой,3
596,Литературное кафе,0
597,Подвал Бродячей Собаки,2
598,Проект при магазине Академический проект,2
599,Музей Пушкина,1
600,Дом актера,1
601,Подвал Бродячей Собаки,2
602,Библиотека им. Толстого,2
603,Подвал Бродячей Собаки,2
604,Литературное кафе,0
605,Борей-Арт,8
606,Восточноевропейский институт психоанализа,2
607,Дом ученых,1
608,Quo Vadis!?,7
609,Еврейский общинный центр,1
610,ЦСЛК,1
611,Подвал Бродячей Собаки,1
612,Филологический факультет СПбГУ,1
613,Музей Ахматовой,1
614,Дом журналиста,2
615,Музей Ахматовой,1
616,Музей Ахматовой,1
617,Восточноевропейский институт психоанализа,1
618,Восточноевропейский институт психоанализа,1
619,БУМ,0
620,Музей Ахматовой,1
621,Музей Ахматовой,1
622,РГПУ,5
623,Литературное кафе,0
624,Подвал Бродячей Собаки,3
625,Дом актера,1
626,Дом ученых,1
627,Подвал Бродячей Собаки,1
628,Подвал Бродячей Собаки,4
629,Подвал Бродячей Собаки,1
630,Литературное кафе,0
631,Подвал Бродячей Собаки,1
632,Музей Ахматовой,2
633,Музей Ахматовой,1
634,Еврейский общинный центр,1
635,Музей Ахматовой,8
636,Музей Ахматовой,1
637,Музей Ахматовой,1
638,Музей Ахматовой,3
639,Еврейский общинный центр,1
640,ProArte,1
641,Музей Пушкина,13
642,Подвал Бродячей Собаки,0
643,Филологический факультет СПбГУ,3
644,Музей Ахматовой,3
645,ProArte,1
646,Литературное кафе,0
647,Дом ученых,1
648,РГПУ,2
649,Подвал Бродячей Собаки,2
650,ЦСЛК,1
651,Музей Ахматовой,0
652,Подвал Бродячей Собаки,3
653,Музей Ахматовой,1
654,Литературное кафе,0
655,Музей Ахматовой,2
656,Музей Ахматовой,4
657,Галерея Невограф,2
658,Quo Vadis!?,1
659,Дом ученых,1
660,ЦСЛК,1
661,Борей-Арт,7
662,Подвал Бродячей Собаки,3
663,Подвал Бродячей Собаки,2
664,Российская национальная библиотека,1
665,Дом актера,6
666,Navicula Artis,6
667,Музей Ахматовой,8
668,Подвал Бродячей Собаки,1
669,Российская национальная библиотека,1
670,Философский факультет СПбГУ,12
671,ЦСЛК,1
672,Подвал Бродячей Собаки,2
673,Восточноевропейский институт психоанализа,2
674,ЦСЛК,1
675,Литературное кафе,0
676,ЦСЛК,6
677,Музей П.П.Чистякова,5
678,Редакция журнала Звезда,3
679,Филологический факультет СПбГУ,3
680,Смольный институт свободных искусств и наук,11
681,Еврейский общинный центр,1
682,Дом ученых,1
683,Чайный домик Летнего сада,0
684,Борей-Арт,1
685,Музей Ахматовой,4
686,Литературное кафе,0
687,Подвал Бродячей Собаки,0
688,Дом ученых,5
689,Редакция журнала Звезда,7
690,Подвал Бродячей Собаки,5
691,Дом журналиста,3
692,ЦСЛК,1
693,Восточноевропейский институт психоанализа,2
694,Еврейский общинный центр,1
695,Библиотека Лермонтова,0
696,street,0
697,Манеж,0
698,Библиотека Островского,0
699,Филологический факультет СПбГУ,1
700,Театр поэтов Послушайте!,2
701,Дом журналиста,2
702,ЦСЛК,0
703,Театр поэтов Послушайте!,7
704,Театр поэтов Послушайте!,4
705,Библиотека Блока,10
706,Дом ученых,1
707,Музей Ахматовой,1
708,Библиотека им. Толстого,1
709,Еврейский общинный центр,1
710,Книжный магазин Мир печати,4
711,Музей Ахматовой,4
712,РГПУ,1
713,Музей Ахматовой,5
714,ЦСЛК,1
715,Театр поэтов Послушайте!,5
716,Театр поэтов Послушайте!,10
717,Дом журналиста,1
718,Филологический факультет РГПУ им. Герцена,1
719,Библиотека им. Толстого,2
720,Еврейский общинный центр,1
721,Подвал Бродячей Собаки,1
722,Музей Ахматовой,1
723,Филологический факультет СПбГУ,2
724,Театр поэтов Послушайте!,11
725,Театр поэтов Послушайте!,5
726,Борей-Арт,10
727,Библиотека им. Толстого,0
728,Дом ученых,1
729,Подвал Бродячей Собаки,0
730,Филологический факультет СПбГУ,7
731,Редакция журнала Звезда,10
732,Театр поэтов Послушайте!,6
733,Подвал Бродячей Собаки,1
734,Восточноевропейский институт психоанализа,5
735,Дом ученых,1
736,ЦСЛК,1
737,Библиотека им. Толстого,1
738,Музей Ахматовой,1
739,Петербургский архив и библиотека независимого искусства,4
740,Библиотека им. Толстого,0
741,Еврейский общинный центр,1
742,Музей Блока,1
743,Подвал Бродячей Собаки,5
744,Музей Некрасова,0
745,Музей Ахматовой,3
746,Библиотека им. Толстого,1
747,Подвал Бродячей Собаки,1
748,Музей Ахматовой,1
749,Театр поэтов Послушайте!,5
750,Дом ученых,1
751,Музей Ахматовой,0
752,Библиотека им. Толстого,1
753,Фундаментальная библиотека РГПУ им. Герцена,0
754,Подвал Бродячей Собаки,2
755,Филологический факультет СПбГУ,2
756,Дом журналиста,1
757,Подвал Бродячей Собаки,1
758,Театр поэтов Послушайте!,9
759,Музей Ахматовой,3
760,Библиотека им. Толстого,0
761,Подвал Бродячей Собаки,3
762,Quo Vadis!?,1
763,Редакция журнала Звезда,4
764,Театр поэтов Послушайте!,2
765,Подвал Бродячей Собаки,1
766,Дом ученых,1
767,Музей Ахматовой,1
768,Библиотека им. Толстого,3
769,Музей Ахматовой,0
770,ЦСЛК,1
771,Театр поэтов Послушайте!,6
772,Санкт-Петербургский научный центр РАН,2
773,Европейский университет,3
774,Интерьерный театр,1
775,Еврейский общинный центр,1
776,Библиотека им. Толстого,1
777,Музей Ахматовой,5
778,Дом ученых,1
779,Театр поэтов Послушайте!,5
780,Театр поэтов Послушайте!,4
781,Музей Некрасова,0
782,Филологический факультет СПбГУ,1
783,Подвал Бродячей Собаки,1
784,Центр Петербургская иудаика,2
785,Библиотека им. Толстого,4
786,Музей Набокова,2
787,Филологический факультет СПбГУ,1
788,Музей Ахматовой,4
789,Буквоед,1
790,Буквоед,1
791,Музей Ахматовой,1
792,Театр поэтов Послушайте!,4
793,Театр поэтов Послушайте!,11
794,Снарк,1
795,Институт психологии и социальной работы,0
796,Европейский университет,0
797,Научно-методический центр,0
798,Библиотека им. Толстого,1
799,Подвал Бродячей Собаки,1
800,Академическая гимназия СПбГУ,0
801,Библиотека им. Толстого,1
802,ЦСЛК,1
803,Еврейский общинный центр,1
804,Дом ученых,1
805,Европейский университет,2
806,Борей-Арт,1
807,Библиотека им. Толстого,1
808,ЦСЛК,1
809,Подвал Бродячей Собаки,0
810,Подвал Бродячей Собаки,1
811,Союз писателей России,0
812,Театр поэтов Послушайте!,6
813,Музей Блока,1
814,Музей Некрасова,0
815,ДК Горького,5
816,ГЭЗ-21,1
817,ЦСЛК,3
