,event__place__name,event__place__id,lat,lon
55,Городской ДК г. Ломоносова,661,59.89686500,29.77376200
56,Арт-Проспект,858,59.95452500,30.32697100
57,Библиотека семейного чтения,459,60.01150400,29.72001600
58,Буквоед,19,60.05270300,30.33119300
59,Лофт-проект Этажи,37,59.92202100,30.35552000
60,Театр Зазеркалье,745,59.92940700,30.34394900
61,"Клуб Новая линия, филиал Пороховской библиотеки",446,59.95688100,30.48305400
62,Гостиница Англетер,475,59.93290100,30.30923900
63,Библиотека Никольская,485,59.92393700,30.30207900
64,Дом молодежи Санкт-Петербурга,637,59.93858100,30.27242600
65,ДК Выборгский,181,59.96303000,30.34832400
66,Культурное место,270,59.93957700,30.26876000
67,Библиотека в Выборге на Рубежной,764,60.69804900,28.77135000
68,Книги и кофе,11,59.93431200,30.37344100
69,Буфет Пьяная груша,216,59.92484400,30.35894200
70,Галерея Ультра Марин,596,59.92143500,30.33802100
71,Галерея-103,389,59.92913600,30.35933800
72,Культурно-досуговый центр Мга,519,59.75832300,31.06365300
73,Атриум Мариус Паба,737,59.92957400,30.35400200
74,Молодежный театр на Фонтанке,342,59.91906700,30.31338000
75,Горький,77,59.95764200,30.32087200
76,Музей Набокова,49,59.93188700,30.30492700
77,Джекилл и Хайд,372,59.92924000,30.32053000
78,Мастерская Анастасии Нелюбиной,408,59.94845600,30.23463300
79,Русское географическое общество,717,59.93046200,30.31406200
80,Музей уличного искусства,718,59.96124600,30.45278900
81,Дворец учащейся молодежи,774,59.93865300,30.32576800
82,Галерея Люда,733,59.93916300,30.34539600
83,Harst's Pub,672,59.92902400,30.36963200
84,СимбиоZ,690,59.94371500,30.32071900
85,Буквоед,19,59.92815400,30.34686000
86,Вам сюда!,789,59.96734000,30.33837100
87,ГЭЗ-21,122,59.92913600,30.35933800
88,Гостевой дом Чиженька,815,59.94219600,30.34130800
89,ZANZA,526,59.92883900,30.34429100
90,Театр Под самой крышей,497,59.88455000,30.32117700
91,Библиотека Кировских островов,327,59.97351800,30.26091800
92,Малевич,74,59.88988200,30.31873400
93,Дом 7,612,59.93906800,30.32736700
94,БДТ,648,59.92749100,30.33085200
95,Maklalu,329,59.96253400,30.30854700
96,Буквоед,19,59.99089900,30.20578000
97,Che,734,59.92810800,30.37035100
98,Запасной дворец,404,59.72246300,30.41694700
99,Библиотека Измайловская,26,59.91144400,30.30881600
100,Inside,496,59.95867900,30.30476500
101,Центральная детская библиотека Кировского района,471,59.83293700,30.21576900
102,Белый зал Политеха,757,60.00746100,30.37310000
103,Библиотека Ломоносова,38,59.94273200,30.23555000
104,Line,547,59.92268800,30.33518200
105,Black stage,824,59.91908500,30.35261800
106,Старый Стокер,804,59.93304100,30.32605500
107,ТЮЗ им. Брянцева,657,59.92001800,30.33467900
108,Центр молодежных исследований НИУ ВШЭ,541,59.93661100,30.27989100
109,TimeCraft,758,59.92484400,30.35894200
110,Редакция журнала Невский альманах,712,59.94226800,30.35683100
111,БУМ,427,59.93071900,30.34207200
112,Арт-отель Рахманинов,710,59.93342900,30.32186900
113,Рускомплект,531,59.91439400,30.27655800
114,Inside,496,59.96077300,30.30350700
115,Студия Юрия Касьяника,255,59.92544800,30.37566000
116,DO-gallery,195,59.94683300,30.34502700
117,Музей повседневной культуры Ленинграда 1945-1965 гг.,158,59.94241700,30.28322300
118,Фонд Иофе,790,59.92799100,30.34305100
119,Театр Особняк,401,59.97167200,30.30679500
120,ПОЭТому,76,59.92484400,30.35894200
121,Театральная гостиная Vinci,819,59.96042600,30.30684000
122,Дворец Белосельских-Белозерских,540,59.93277000,30.34484800
123,Театр Поколений,306,59.96419200,30.29747100
124,Петровский арсенал,848,60.09392700,29.96893900
